scenario,urgency,believability,excuse
family,high,high,"Hospitalized due to dehydration, missed final exam."
family,high,high,Car accident while heading to family.
family,high,high,Emergency surgery scheduled on exam day.
family,high,high,"I really needed to take some time for myself, and I wasn’t sure how to communicate that."
family,high,high,"I wasn’t sure how to ask, but I really needed some space to clear my head."
family,high,high,"I didn’t think it would be a problem, but I needed more time than I expected."
family,high,high,"I needed a break to reset, and I should’ve communicated that more clearly."
family,high,high,"I just needed to step away for a while, and I should’ve explained it better."
family,high,high,"I thought a short break would be enough, but I ended up needing more time to myself."
family,high,high,"I wasn’t sure how to express it, but I really needed some time alone to gather my thoughts."
family,high,high,"I needed some space to recharge, but I didn’t think it would be a big deal."
family,high,high,"I should’ve been more upfront about needing some time alone, I’m sorry."
family,high,high,"I didn’t expect to be away for so long, but I really needed the time."
family,high,high,Serious illness prevented me from attending.
family,high,high,"Fire drill disrupted everything, exam postponed."
family,high,low,Felt lazy and skipped family altogether.
family,high,low,"Mixed up dates, came a day late."
family,high,low,"I didn’t think it would be an issue, but I needed a break."
family,high,low,"I didn’t mean to cause any problems, but I just needed some space."
family,high,low,"I thought it would be fine to take some time to myself, but it ended up being more."
family,high,low,"I wasn’t sure how to explain it, but I just needed a little break."
family,high,low,"I thought a brief breather would help, but I needed more time."
family,high,low,"I didn’t think it would be a big deal, but I ended up needing some alone time."
family,high,low,"I thought it wouldn’t cause any issues, but I needed some space to recharge."
family,high,low,"I just needed some time alone, but I didn’t explain it well."
family,high,low,"I didn’t think I’d be gone for long, but I just needed to step away for a while."
family,high,low,"I wasn’t sure how to ask, but I ended up needing more time than I expected."
family,high,low,Thought the assignment was optional.
family,high,low,Totally forgot today was finals day.
family,high,low,Decided not to attend because it was too hard.
family,high,medium,Last-minute power outage ruined prep.
family,high,medium,Severe stomach ache before exam.
family,high,medium,"I wasn’t sure how to say it, but I really needed some time alone."
family,high,medium,"I thought a short break would help, but I ended up needing more time."
family,high,medium,"I didn’t expect to be gone that long, but I really needed a breather."
family,high,medium,"I needed to take a moment for myself, but I didn’t think it would cause any trouble."
family,high,medium,"I thought I’d take a brief break, but I needed more time to recharge."
family,high,medium,"I didn’t mean to be gone for so long, but I really needed some space."
family,high,medium,"I thought I’d be back quickly, but I ended up needing more time."
family,high,medium,"I wasn’t sure how to explain it, but I really needed some time alone to reset."
family,high,medium,"I thought it wouldn’t be a big deal, but I needed more time than I planned."
family,high,medium,I just needed to clear my head and didn’t expect it to take so long.
family,high,medium,Family emergency just before family.
family,high,medium,"Transportation strike, couldn't reach family."
family,high,medium,Laptop crashed while submitting assignment.
family,low,high,"Had a mild allergic reaction, needed rest."
family,low,high,"Power cut at home, couldn't attend gathering."
family,low,high,"School bag got stolen, needed to sort that out."
family,low,high,I had a minor headache and needed to lie down.
family,low,high,I was feeling anxious and couldn’t join the gathering.
family,low,high,I had a small fever and didn’t want to risk it.
family,low,high,I was emotionally overwhelmed and needed space.
family,low,high,I wasn’t feeling well after lunch and rested.
family,low,high,I had to attend an important online class.
family,low,high,I was too tired from staying up late studying.
family,low,high,I had mild food poisoning and stayed in bed.
family,low,high,I needed time alone to recharge mentally.
family,low,high,I had a tension headache and took a nap instead.
family,low,high,"Internet outage, couldn't join online gathering."
family,low,high,"Bus broke down mid-route, couldn't make it."
family,low,low,"Had a minor headache, skipped gathering casually."
family,low,low,"Slept through the morning lecture, my bad."
family,low,low,"Missed family bus, figured I'd take a day off."
family,low,low,"I didn’t feel like attending the gathering, so I said I had homework."
family,low,low,I pretended I was tired just to avoid small talk.
family,low,low,I faked a stomach ache to skip helping with chores.
family,low,low,Told them I had a Zoom class just to stay in my room.
family,low,low,I said I lost my phone so I wouldn't have to answer calls.
family,low,low,Claimed I was fasting to avoid eating leftovers.
family,low,low,I told them I had a sore throat to skip a family video call.
family,low,low,Said my Wi-Fi was down to avoid a long chat.
family,low,low,I pretended to be asleep when they called me.
family,low,low,Said I was busy with an online course I never signed up for.
family,low,low,"Just didn't feel up to it today, sorry!"
family,low,low,"Forgot about today's assignment, will submit later."
family,low,medium,"Felt a little under the weather, stayed home."
family,low,medium,Family guests came over unexpectedly.
family,low,medium,"Library card issue, couldn't attend group study."
family,low,medium,I said I had to study so I could skip doing dishes.
family,low,medium,Told them I had a group call just to stay in my room.
family,low,medium,Pretended to be on a call when asked to help clean.
family,low,medium,I claimed I had to complete an assignment that wasn’t real.
family,low,medium,I said I had an exam so I wouldn’t have to go shopping.
family,low,medium,I told them I had a backache to skip carrying groceries.
family,low,medium,Said I was on a tight deadline for a fake project.
family,low,medium,I told them my professor scheduled a surprise quiz.
family,low,medium,Faked a network issue to get off a long family call.
family,low,medium,"Said I had to help a friend, just to get out of a family errand."
family,low,medium,"Had a dentist appointment, missed gathering."
family,low,medium,"Got stuck in traffic, couldn't make it to family."
family,medium,high,Had a doctor's appointment scheduled suddenly.
family,medium,high,"Was involved in a minor accident, needed first aid."
family,medium,high,"I didn’t want to disrupt anything, but I needed some space."
family,medium,high,"I wasn’t sure how to bring it up, but I needed a break."
family,medium,high,"I didn’t think it would affect anyone, but I ended up needing some time."
family,medium,high,"I wasn’t sure how to say it, but I needed to take a moment for myself."
family,medium,high,"I didn’t think it would be an issue, but I ended up needing some alone time."
family,medium,high,"I thought it would be okay, but I just needed a little breather."
family,medium,high,"I didn’t expect it to cause any problems, but I needed some space."
family,medium,high,"I needed some time alone to clear my head, but I didn’t ask for it properly."
family,medium,high,"I thought it would be fine to step away for a bit, but I ended up needing more time."
family,medium,high,"I wasn’t sure how to ask, but I needed a break to reset."
family,medium,high,"Pet got sick, had to take care of it."
family,medium,high,"Severe migraine, couldn't focus on gathering."
family,medium,high,Assisted a neighbor in an emergency.
family,medium,low,Accidentally overslept before the exam.
family,medium,low,"Left my homework at home, didn't attend gathering."
family,medium,low,Confused the gathering timing and missed it.
family,medium,low,Missed the quiz because I forgot the date.
family,medium,low,"I said the power went out, but it didn’t."
family,medium,low,Told them I was in class when I was actually napping.
family,medium,low,I pretended my phone broke to ignore calls.
family,medium,low,I faked a deadline to avoid doing chores.
family,medium,low,I said my internet was down to avoid a family Zoom.
family,medium,low,"Claimed I was on a call, but I was just scrolling."
family,medium,low,I acted like I had a cold to stay in my room.
family,medium,low,Told them I was working when I was binge-watching.
family,medium,low,Faked a presentation to skip an event.
family,medium,low,Said I had an interview that never existed.
family,medium,medium,"Missed a connecting bus, got delayed."
family,medium,medium,I just needed a little break and didn’t know how to explain it.
family,medium,medium,"I thought I could handle things on my own, but I needed some time."
family,medium,medium,"I wasn’t sure how to say it, but I needed a bit of space."
family,medium,medium,"I didn’t think it would be a big deal, but I ended up needing some time."
family,medium,medium,"I thought I’d take a quick break, but it turned into more time than expected."
family,medium,medium,I just needed to step away for a bit and didn't explain it well.
family,medium,medium,"I needed some quiet time to recharge, but I didn’t say so clearly."
family,medium,medium,"I thought it would be fine, but I ended up needing some time alone."
family,medium,medium,"I didn’t think it would be a problem, but I just needed some downtime."
family,medium,medium,"I wasn’t sure how to ask for time alone, so I just took it."
family,medium,medium,Small family emergency kept me from attending.
family,medium,medium,Had a minor sprain on my way to family.
family,medium,medium,Overslept after pulling an all-nighter.
family,medium,medium,"Laptop issues, couldn't submit the project."
school,high,high,Emergency surgery scheduled on exam day.
school,high,high,Serious illness prevented me from attending.
school,high,high,"Fire drill disrupted everything, exam postponed."
school,high,high,"Hospitalized due to dehydration, missed final exam."
school,high,high,Car accident while heading to school.
school,high,low,"Mixed up dates, came a day late."
school,high,low,Thought the assignment was optional.
school,high,low,Decided not to attend because it was too hard.
school,high,low,Totally forgot today was finals day.
school,high,low,Felt lazy and skipped school altogether.
school,high,medium,Laptop crashed while submitting assignment.
school,high,medium,Last-minute power outage ruined prep.
school,high,medium,"Transportation strike, couldn't reach school."
school,high,medium,Severe stomach ache before exam.
school,high,medium,Family emergency just before school.
school,low,high,"Power cut at home, couldn't attend class."
school,low,high,I had a dental emergency and couldn't concentrate.
school,low,high,My little brother fell sick and I had to babysit him.
school,low,high,We had a sudden family ritual and I couldn’t skip it.
school,low,high,My internet was out all evening during submission.
school,low,high,The power went out and I couldn’t charge my device.
school,low,high,I started feeling sick right when I sat to finish it.
school,low,high,I had to go buy medicine for my grandparents.
school,low,high,The submission portal was down when I tried uploading.
school,low,high,My laptop crashed after hours of work — lost everything.
school,low,high,There was a family emergency I had to attend to.
school,low,high,"Bus broke down mid-route, couldn't make it."
school,low,high,"Had a mild allergic reaction, needed rest."
school,low,high,"Internet outage, couldn't join online class."
school,low,high,"School bag got stolen, needed to sort that out."
school,low,low,"Just didn't feel up to it today, sorry!"
